Hospital Department,Patient Symptoms (Patient-Friendly),Required Physician Area of Expertise #1,Physician Area of Expertise #2,Physician Area of Expertise #3
OB/Gyn,Possible sexually transmitted infection (STI),General Obstetrics,Gynecology,
OB/Gyn,"Suspected endometriosis (bad period pain, pain with sex)",General Obstetrics,Gynecology,
OB/Gyn,Trouble getting pregnant,General Obstetrics,Gynecology,
Oncology,Abnormal Pap smear needing specialist,Gynecologic Malignancy,Cervical Cancer,
Oncology,Blood in stool or positive home colon test,Colon Cancer,,
Oncology,Blood in urine without pain,General Oncology,,
Oncology,Brain mass or tumor found on scan,Brain Tumor,Neuroblastoma,
Oncology,Cancer found but primary site unknown,General Oncology,,
Oncology,Changing or unusual skin spot/mole,Melanoma,,
Oncology,High PSA blood test or abnormal prostate exam,Prostate Cancer,,
Oncology,High white cells or platelets told by another clinic,Hematology,General Oncology,
Oncology,Long-lasting cough or coughing up blood (smoking history),General Oncology,,
Oncology,Low blood count (anemia) told by another clinic,Hematology,,
Oncology,Neck lump or hoarseness that won’t go away,Head & Neck Cancer,,
Oncology,New bowel changes plus weight loss,Colon Cancer,,
Oncology,New breast lump or abnormal mammogram,Breast Cancer,,
Oncology,New lump in a testicle,Testicular Cancer,Prostate Cancer,
Oncology,"Night sweats, fevers, and tiredness",General Oncology,,
Oncology,Second opinion for a cancer diagnosis,General Oncology,,
Oncology,Swollen lymph node that isn’t going away,Lymphoma,,
Oncology,Thyroid nodule with concerning test/biopsy,General Oncology,,
Oncology,Told you have sarcoma (soft tissue or bone),Sarcomas,,
Oncology,Unplanned weight loss (clothes getting loose),General Oncology,,
Oncology,Vaginal bleeding after menopause,Vaginal Cancer,,
Oncology,Yellow eyes/skin or mass on pancreas/liver scan,Pancreatic Cancer,,
Orthopedics,Arthritis pain or swollen joints,Osteoarthritis,,
Orthopedics,Back or neck pain shooting down arm or leg (pinched nerve),General Neurology,Spine Surgery,
Orthopedics,Broken bone (not an emergency room visit),Fracture Care,,
Orthopedics,Bunions or crooked toes,Foot Surgery,,
Orthopedics,"Child with gait concerns, scoliosis, or limb differences",Scoliosis,,
Orthopedics,Elbow pain or tennis/golfer’s elbow,Hand/Wrist/Elbow,,
Orthopedics,Finger catches or locks (trigger finger),Hand & Wrist Surgery,,
Orthopedics,Foot or ankle pain,Foot Surgery,Ankle Surgery,
Orthopedics,Hand or wrist pain/numbness,Hand/Wrist/Elbow,Hand & Wrist Surgery,
Orthopedics,Heel pain when first standing (plantar fasciitis),Foot Surgery,Ankle Surgery,
Orthopedics,Hip or shoulder labrum tear (told/suspected),Shoulder Arthroscopy,Hip Arthroscopy,Hip Surgery
Orthopedics,Hip pain or stiffness,Hip Arthroscopy,,
Orthopedics,Knee ligament injury (ACL or others),Sports Medicine,Knee Arthroscopy,
Orthopedics,Knee meniscus tear (told/suspected),Sports Medicine,Knee Arthroscopy,
Orthopedics,"Knee pain with walking, stairs, or sports",Knee Arthroscopy,,
Orthopedics,Lower back pain without red flags,Spinal Deformities,Complex Spine,
Orthopedics,Neck pain without red flags,Spinal Deformities,Complex Spine,
Orthopedics,Numbness/tingling in hands at night (possible carpal tunnel),Hand & Wrist Surgery,,
Orthopedics,Old fracture not healing or healed crooked,Fracture Care,,
Orthopedics,Possible hairline/stress fracture,Fracture Care,,
Orthopedics,Rotator cuff tear or shoulder impingement (told/suspected),Shoulder Arthroscopy,Sports Medicine,
Orthopedics,Shoulder pain or trouble lifting arm,Shoulder Arthroscopy,Sports Medicine,
Orthopedics,"Sprained ankle, knee, or wrist",Knee Arthroscopy,Ankle Surgery,Hand & Wrist Surgery
Orthopedics,"Tendon pain (Achilles, kneecap, etc.)",Sports Medicine,,
Orthopedics,Thickened cords in palm pulling fingers in,Hand & Wrist Surgery,,
Orthopedics,Told you have a slipped or herniated disc,Spinal Deformities,Complex Spine,
Urology,Accidental urine leaks with cough/exercise (women),Urinary Incontinence,,
Urology,Bladder pain syndrome (painful bladder),Bladder,,
Urology,Bladder problems from nerve disease,Bladder,,
Urology,Blood in urine without pain,General Urology,Urologic Oncology,
Urology,Burning or pain when peeing (possible UTI),General Urology,,
Urology,Child with urinary/kidney concerns,Pediatric Urology,,
Urology,Curved or painful erections (Peyronie’s),Erectile Dysfunction,,
Urology,Fluid or enlarged veins around testicle (hydrocele/varicocele),General Urology,,
Urology,Going to the bathroom very often or urgently,Urinary Incontinence,,
Urology,High PSA test or abnormal prostate exam,Prostate Cancer,,
Urology,Male infertility (low sperm count told by prior test),Male Infertility,,
Urology,"Men: weak stream, getting up at night, or straining to pee",General Urology,,
Urology,Narrow urethra (weak stream after injury/surgery),Urethral Stricture,,
Urology,Repeat urinary infections,General Urology,,
Urology,Severe side or back pain with nausea (possible kidney stone),Stones,,
Urology,Testicle pain or swelling (not sudden severe),General Urology,,
Urology,Trouble getting or keeping an erection,Erectile Dysfunction,,
Urology,Trouble starting urine or emptying bladder,Urethral Stricture,,
